id,name,brand,category,description,style,price
1,Classic Shorts,Nike,Shorts,Breathable shorts perfect for warm weather and outdoor activities.,Formal,60.4
2,Slim Fit Jacket,Balenciaga,Jacket,Warm and cozy jacket for colder seasons.,Formal,262.11
3,Oversized Blazer,Balenciaga,Blazer,Stylish blazer ideal for professional or business settings.,Formal,105.04
4,Elegant Shorts,Gucci,Shorts,Breathable shorts perfect for warm weather and outdoor activities.,Formal,494.44
5,Modern Tracksuit,Balenciaga,Tracksuit,Sporty tracksuit for exercise or casual lounging.,Casual,104.01
6,Patterned T-Shirt,H&M,T-Shirt,Comfortable cotton t-shirt perfect for daily wear.,Casual,348.7
7,Classic Sweater,Balenciaga,Sweater,Soft knit sweater that provides warmth and comfort.,Casual,417.91
8,Bright Sweater,Zara,Sweater,Soft knit sweater that provides warmth and comfort.,Formal,189.15
9,Bright Shorts,Levi's,Shorts,Breathable shorts perfect for warm weather and outdoor activities.,Streetwear,494.55
10,Bright Blazer,Prada,Blazer,Stylish blazer ideal for professional or business settings.,Casual,22.9
11,Classic Gown,Balenciaga,Gown,Luxurious evening gown designed for formal occasions.,Casual,355.42
12,Modern Tracksuit,Nike,Tracksuit,Sporty tracksuit for exercise or casual lounging.,Streetwear,198.57
13,Bright Jeans,Balenciaga,Jeans,Classic denim jeans with a slim fit and durable stitching.,Business,66.11
14,Classic Tracksuit,Prada,Tracksuit,Sporty tracksuit for exercise or casual lounging.,Streetwear,197.89
15,Modern Shorts,Under Armour,Shorts,Breathable shorts perfect for warm weather and outdoor activities.,Business,493.19
16,Classic Gown,Balenciaga,Gown,Luxurious evening gown designed for formal occasions.,Casual,271.15
17,Oversized Sweater,Uniqlo,Sweater,Soft knit sweater that provides warmth and comfort.,Formal,365.66
18,Sporty Jacket,H&M,Jacket,Warm and cozy jacket for colder seasons.,Formal,364.86
19,Bright Skirt,Gucci,Skirt,Chic and trendy skirt for casual or formal wear.,Sporty,149.94
20,Patterned Tracksuit,Under Armour,Tracksuit,Sporty tracksuit for exercise or casual lounging.,Casual,434.83
21,Elegant Sweater,Under Armour,Sweater,Soft knit sweater that provides warmth and comfort.,Casual,141.72
